altitude_km,velocity_ms,alpha_deg,Twall_K,ood_source,CL_sc,CD_sc,q_sc,Kn_fostrad,CL_krd,CD_krd,q_krd,CL_fr,CD_fr,q_fr,CL_vd,CD_vd,q_vd
131.99597955030106,10869.575697351293,12.3253893602053,701.1125451145515,high_altitude,-0.03170559978298097,1.9067945576002363,3250.1031397644997,4.966506477283726,-0.03176445021026984,1.9076096652794459,3250.1121082966993,-0.03176275892475336,1.9069205219153433,3250.108262600549,-0.03176114001657823,1.907251071502169,3250.110067844717
136.5900645720206,11202.64304184212,7.1421421847539115,317.81954187004413,high_altitude,-0.0015264537985282892,1.8454096716181365,2589.286037271441,6.799795769148377,-0.0015489546216506458,1.845133379843096,2589.287484560987,-0.001583613008340888,1.845083565826823,2589.290659678883,-0.0015625647777253518,1.8458500218838836,2589.2920125398223
135.3549843162994,11949.161832665048,16.71303833488022,970.1645846543828,high_altitude,-0.05591602678463803,2.0333973071383995,3427.9059066513805,6.272065716809566,-0.05587820221203718,2.0327529292871476,3427.9002017835523,-0.055870914911795105,2.0317488824807515,3427.8943723041675,-0.05593765928083655,2.0337924441392414,3427.909357549943
130.79370777423765,12884.07669574676,15.819818845067129,1085.9994020228555,high_altitude,-0.051523357643425166,1.9768396610884493,5906.675907044739,4.543536468665837,-0.05152567539083905,1.9768907347420699,5906.6761943454085,-0.05149933736881271,1.9765967420412165,5906.669573776486,-0.051486670011123364,1.976400136818275,5906.666412362462
137.04251353927356,10801.842982013606,3.4835671941333937,458.3773103844138,high_altitude,0.020056140825695068,1.8886091286168085,2226.273558914226,6.999814182768045,0.020004533598699026,1.8890578446688724,2226.2795295202036,0.020064326255533782,1.8904602538081532,2226.2818785793484,0.01997628596004697,1.8881234710519583,2226.2774213397497
144.13422960274363,12524.784071111835,2.3651649194318516,384.4056843798992,high_altitude,0.021713088506022077,1.9281405917367769,2277.995053804297,10.620267627385251,0.021744308408261442,1.9283973552441576,2277.994783047272,0.021738820468536174,1.9287415804449233,2277.996896947122,0.021720435738903004,1.9281826189403928,2277.995053804297
126.04326664562262,10948.036683698165,19.60974685633073,1316.0347302296457,high_altitude,-0.08739901263621325,2.039410915486593,5277.618603325168,3.0854361414991938,-0.08738347986986217,2.039206132703538,5277.614301117276,-0.08739097919499866,2.0393215446101767,5277.616605922424,-0.08738454300616028,2.0400123255814564,5277.622631172541
141.8962095632381,11374.059834882928,10.537546830886743,1177.2413047115544,high_altitude,-0.026859931108923762,1.926402120444521,1968.8452483575445,9.375340279174525,-0.02682373788626654,1.926590255247242,1968.8443293271148,-0.026848773760645685,1.9266126976141484,1968.8455467743152,-0.026792884793818715,1.9276397947095694,1968.8462597083217
133.49863620536564,11742.06726355326,19.25791375558922,1248.7765666816117,high_altitude,-0.07604650698409265,2.0934043114575247,3673.490433335949,5.52766899733778,-0.07603640792732652,2.093171143983366,3673.4887518213136,-0.07602362332588314,2.0932304821736714,3673.4881442570013,-0.07601477921078997,2.0925236175703477,3673.4843246398987
141.27165576527466,11471.398122755496,18.14810051199881,1461.3845815000586,high_altitude,-0.07397523115568896,2.1157335537814643,2097.6660828136924,9.044465641680906,-0.07396948137663864,2.1149456612093034,2097.663786952316,-0.07396612676338771,2.1152044818075377,2097.6643761030996,-0.07396805679429022,2.1154363478031404,2097.6649670644924
139.44543999250848,12313.64298908816,8.874779128983159,637.0933669870076,high_altitude,-0.011527546751925157,1.8777371356045622,2886.0244777573553,8.12168253087771,-0.011573358427881207,1.876070566475981,2886.0200343452825,-0.011553708393393416,1.877702275551431,2886.0270655227264,-0.01156531477560783,1.8772014961000068,2886.0251128638943
134.48696189601185,12031.923688457244,16.48032101484172,343.5557473181371,high_altitude,-0.040458234062057175,2.0107041355903927,3723.4422462792254,5.917146852542067,-0.04044425406551269,2.011716290560288,3723.445659016461,-0.04043271238180915,2.010793150806987,3723.439661062703,-0.040462173334688295,2.011326975481011,3723.4457984205833
132.61804235920522,12690.140789505156,5.551750211691679,589.2082340880829,high_altitude,0.008720817287674404,1.8361790182805433,4875.05919987035,5.1941769337776105,0.008734740074906419,1.8370498578473067,4875.069150515563,0.00877167996223406,1.8377067104047589,4875.068796533226,0.00872380835610885,1.8361526568119984,4875.062575353686
140.49839607000067,12465.808009085124,3.3080493410989025,1000.600999549535,high_altitude,0.023442050429246797,1.9116201822976466,2757.79002790705,8.646229505241061,0.023455928377945467,1.9109490695693545,2757.7845554313026,0.02354587767397326,1.9132773985408016,2757.7901586848006,0.023458641804016356,1.9107829505059524,2757.7815511744284
129.73643441009222,12987.954087277652,13.478658399057634,1393.785364698978,high_altitude,-0.041675130269670374,1.9155067496281575,6535.947725498194,4.189424148608411,-0.04163170492491808,1.9162371726905358,6535.949273471022,-0.04165444125706652,1.917402735589508,6535.967167322667,-0.04169112671440778,1.916932472548757,6535.966915722037
143.19621117474247,12815.157939080873,11.28311310151399,929.288714394348,high_altitude,-0.02553979742994613,1.9395768108254237,2625.3785734192966,10.087003899981893,-0.025517562652247062,1.940558566006457,2625.380639794132,-0.0255364983865611,1.9408653872122248,2625.3826282729633,-0.025547890261711857,1.9404242604096766,2625.3814146752343
138.5845112596816,11634.28486276806,9.830135525478727,804.1175795777733,high_altitude,-0.018477113693476592,1.8949484099824925,2566.895185045419,7.7072214406607005,-0.018496871513258187,1.8949672543698362,2566.89671939029,-0.01851784409860306,1.8943714336870037,2566.895500795221,-0.018512511339004833,1.894823102841351,2566.897769588369
144.51473971844607,12228.706894841373,14.970188446186354,883.7444844654327,high_altitude,-0.04385314160630535,2.0315306481870685,2130.1003350140677,10.842129325387923,-0.0438564028085712,2.0313027012429075,2130.1000851653503,-0.04386612423557559,2.032002751112692,2130.1020151479784,-0.04383666760978261,2.0319700113895465,2130.101022250132
129.0046199289715,11512.17852918975,1.5183281894612128,1037.9750925449623,high_altitude,0.04310531269294149,1.8680657545044368,4684.326097010446,3.9540084567473524,0.04317290841522456,1.8692319881559036,4684.329429935547,0.04313850951539397,1.8685754199804903,4684.329742739146,0.043148828317560145,1.8692267055980358,4684.332615875877
142.7344909161178,11860.183246695442,17.438553960318522,1294.400341479882,high_altitude,-0.06509376147479978,2.0960871654270763,2136.512880901877,9.830700470812197,-0.0650947159268353,2.097043313378881,2136.5150651166928,-0.06513756378777294,2.0974016950088736,2136.5173096063613,-0.06510029417143065,2.0967295287596337,2136.514784704766
136.30673548674503,11045.031815429646,7.820193901190423,1424.5936946400325,high_altitude,-0.010012624863097955,1.8626980593993785,2508.4268262640635,6.676201211773687,-0.009989199110844164,1.8627816949096354,2508.426012218407,-0.009962282245512766,1.8631353402857929,2508.4260998931836,-0.010013691095106681,1.8624396415770161,2508.4256934519485
134.1574446611088,12590.575213073147,0.9993011200262746,1106.599931740603,high_altitude,0.04304678844544446,1.9092009939400916,4219.061069118796,5.785628917287922,0.04305566213456802,1.9092772135481477,4219.062639607149,0.04305551895338372,1.9097211031710264,4219.068619229802,0.043005604670205505,1.907881010489713,4219.052324447312
128.69790502648652,10690.320890213568,12.681360493406578,533.356969405407,high_altitude,-0.031784726992503384,1.8850283264953833,3969.8326570420927,3.8582180276149423,-0.031819075896558704,1.8857789346805065,3969.843180249286,-0.03179117890844581,1.885174320655962,3969.834804268847,-0.03179769671447466,1.8861690167771898,3969.8434234912143
128.16132800347242,12123.698295202574,14.414323503665136,827.9387728011322,high_altitude,-0.04289501611301516,1.9183866280822834,6036.155078926792,3.694259478015143,-0.04292637524361961,1.9188706164927063,6036.1660067653975,-0.04290826168887421,1.919336709957369,6036.168008468661,-0.04290385555723478,1.9189934340889288,6036.164268097612
126.38437568674252,11785.614450115814,11.911528262706923,684.9384988675405,high_altitude,-0.02807457183149327,1.845710909376273,6413.897413209625,3.1792929275768778,-0.02809752990896358,1.8459339539534254,6413.906516447963,-0.02805703215969234,1.8449951708766272,6413.878699460085,-0.02807552264693053,1.8457622169523344,6413.898086902274
125.46303031677664,10612.920423413972,8.49733724180965,1376.5986388965678,high_altitude,-0.012634114088650486,1.785190889774048,5018.587849800304,2.929786793713423,-0.012602452652123427,1.7863284455544823,5018.597817886443,-0.012610925852400643,1.7848483768807468,5018.575544818615,-0.012613772145027912,1.7851868241654971,5018.578876837192
131.3263293785415,11310.011629376831,4.335141391347462,486.16791869011774,high_altitude,0.0167967557432257,1.842603938597055,3775.6201281834146,4.728179856762974,0.01683254197022141,1.8438349270205265,3775.62660204737,0.016824770890993587,1.8433116448778353,3775.6241553840096,0.0168274290597467,1.8440119151635783,3775.627897425209
139.8232557749773,10561.793547172269,0.1794540116870704,575.400817519751,high_altitude,0.0432530777060357,1.9353717380048685,1754.1816237515543,8.307830455188611,0.04329439768820964,1.936468692393224,1754.1855465458377,0.04322477026048635,1.9349431132091317,1754.181992931475,0.04324862823379763,1.9359147625556723,1754.186194867308
