altitude_km,velocity_ms,alpha_deg,Twall_K,CD,CL,q,Kn
44.968386968334165,9613.766810343794,1.6872195710451285,449.23207240245506,0.22652085030287733,0.2091832987751067,16817580.892569542,1.7566565342644722e-05
38.96220469379736,8323.24505153406,7.32321656853863,477.5421579558998,0.03664184068329504,0.16384739916914087,16138554.388476327,7.540421681371657e-06
42.28261889587987,9106.563623811966,1.1297497381288246,856.174946398302,0.2467527045096886,0.21738865182647713,16973175.60582965,1.2187362752730066e-05
45.12996770770343,8623.095732566984,10.37410287778349,1029.5339169404965,-0.05494754200319403,0.16461364964272315,11826130.984016303,1.7945998056688234e-05
36.19908991864147,8495.822761544408,17.612829224351,339.4659529982743,-0.2839274743598373,0.22599379626088717,21507164.41531624,4.9369741552961285e-06
59.085998613761106,9288.771337610062,9.779602846328352,1287.3609055064098,-0.03691433985757363,0.16437364827219092,6185825.953874715,0.0001054135454475081
33.72072777018321,7672.390543848784,11.249666917778413,1363.8792170547576,-0.08169971896709745,0.1674745160502196,18764740.65394243,3.316934530868652e-06
67.33092451241569,9926.895287745054,15.40084727487789,613.7255705599551,-0.2108597746052343,0.21281022127729546,4373233.179432751,0.00032589781346088905
73.69078618715284,9843.175422183798,8.803236339236761,826.326312533209,-0.007894203919987079,0.2042767956000479,2640902.3333209273,0.0008303987242468192
47.062356800093,7561.991723220217,2.7414381032516024,515.4958562001882,0.19117838940543194,0.19641639992626805,6707596.204898889,2.3071685126139923e-05
71.29840467477885,9702.775893425063,18.559278896739926,984.9735016029014,-0.31010278583636025,0.27145348295803284,3034454.522041654,0.0005813269102742648
35.91112253648174,7388.109623203748,11.5589878845806,1476.996005418591,-0.09101027557915664,0.16893238917204148,13949640.561052779,4.718483619645566e-06
54.264171766496986,8039.590185101461,3.2242772640224477,1145.5590533414688,0.17547974246748443,0.19145250138189038,5205507.972597016,5.687540853392346e-05
116.54001076366669,9304.50906811408,16.178053321646292,1007.437982902702,-0.07579316773359904,1.789007904872488,8794.188815419122,1.1119874569634742
51.18888446077574,7239.40828052718,12.6227947280639,1083.098513582509,-0.1239653154427313,0.17467076250847535,4577268.742308158,3.8745129506487724e-05
